x,y,z,dx,dy,dz
-20.0,-16.0,-30.0,31225.21449354764,24970.133464803002,89336.78165157618
-20.0,-14.0,-30.0,9782.709944435032,23121.171576026907,82110.59294929772
-20.0,-12.0,-30.0,10147.945170950483,34270.55505158375,90828.01344194292
-20.0,-10.0,-30.0,15223.538060227895,50960.92411286648,82733.91790334726
-20.0,-8.0,-30.0,37920.223029703106,49790.27275279241,95388.9101894995
-20.0,-6.0,-30.0,42073.11116408586,44146.007287580636,87559.3435104852
-20.0,-4.0,-30.0,58066.23033043121,32761.925572043307,100775.51051699452
-20.0,-2.0,-30.0,96226.80978577255,14151.656974114076,89462.52248006396
-20.0,0.0,-30.0,89280.47797428668,2702.926657571118,103116.71427748144
-20.0,2.0,-30.0,109986.86448406041,34333.61537016571,94614.89061734754
-20.0,4.0,-30.0,106312.35231436547,45487.47795157231,81093.37579852824
-20.0,6.0,-30.0,157994.85136947132,65857.89654686906,73561.10939646832
-20.0,8.0,-30.0,156675.04506162246,73437.43229076335,71219.99996307436
-20.0,10.0,-30.0,183593.18442997485,86655.635409781,80657.55237595066
-20.0,12.0,-30.0,188076.38998313044,109734.64212816425,85620.44911222326
-20.0,14.0,-30.0,208139.17437267763,101207.26048238031,78309.61532548761
-20.0,16.0,-30.0,211736.17057997975,93781.0490160932,69695.78638366087
-20.0,18.0,-30.0,234056.26439459718,81948.01403107624,70451.96861723781
-20.0,20.0,-30.0,267639.30337483354,60705.527310958685,68160.46705021386
-20.0,22.0,-30.0,291112.52318263,44330.12789725516,58822.20931228468
-20.0,24.0,-30.0,304636.41735258506,35884.58825718981,53900.40928514788
-20.0,26.0,-30.0,315582.87159199244,20771.9574528887,61867.05055229121
-20.0,28.0,-30.0,327684.23916375,5529.564167114899,42037.56966278303
-20.0,30.0,-30.0,333466.482322669,517408.9589355637,69038.20968999936
-18.0,-30.0,-30.0,62737.19182755098,458821.43348824256,50666.01975515356
-18.0,-28.0,-30.0,52520.82969562078,95653.72027707528,57177.599005845186
-18.0,-26.0,-30.0,160122.83834377627,76589.59288012444,56335.15265526876
-18.0,-24.0,-30.0,158813.47697066164,56294.078922862645,57328.42513693444
-18.0,-22.0,-30.0,132549.44079013978,54826.43390382054,74831.67249586857
-18.0,-20.0,-30.0,122570.54484794238,28438.07326693058,64101.23124958341
-18.0,-18.0,-30.0,110189.26243537501,15889.237192014803,77581.95546671779
-18.0,-16.0,-30.0,91926.02614079745,12603.760953657622,66241.47720077285
-18.0,-14.0,-30.0,66478.53495292082,21381.846270193986,72301.33969714423
-18.0,-12.0,-30.0,51710.77686266173,23745.68555722248,94925.04152793289
-18.0,-10.0,-30.0,35514.00160735235,12189.753162408746,95525.65894944959
-18.0,-8.0,-30.0,14855.497515762067,39941.53378506057,83158.1561945193
-18.0,-6.0,-30.0,9565.66402595521,40699.97679654229,94815.28117443016
-18.0,-4.0,-30.0,22882.730554527494,9061.274617455118,87876.65057878682
-18.0,-2.0,-30.0,29849.34115302625,2942.9735344115243,68781.90688149627
-18.0,0.0,-30.0,48898.17024185334,5160.296667225067,93579.47396854327
-18.0,2.0,-30.0,58944.46155335628,37160.20376447884,89217.927999997
-18.0,4.0,-30.0,67071.38849184875,68713.51253753176,86562.70539300381
-18.0,6.0,-30.0,103323.84201676867,80631.36540792917,78982.03375423429
-18.0,8.0,-30.0,93221.80557717121,100146.50894644432,78707.1367441023
-18.0,10.0,-30.0,137386.61881919406,111451.45802402905,76218.11112304276
-18.0,12.0,-30.0,152251.31743107358,105908.45793694939,82148.87426599122
-18.0,14.0,-30.0,164256.61157447423,107200.59889883475,76032.45241783276
-18.0,16.0,-30.0,175305.3016593685,106522.69263138533,79946.02070399327
-18.0,18.0,-30.0,180611.00721383808,108374.20320757499,73903.81977630802
-18.0,20.0,-30.0,192722.19241620964,101989.00265135898,63533.465050446386
-18.0,22.0,-30.0,220006.58500522663,67678.49160465115,47761.05766615851
-18.0,24.0,-30.0,228035.18011530646,40309.53273745293,49308.11568567712
-18.0,26.0,-30.0,255255.47610665087,25431.588476560835,52843.82997589932
-18.0,28.0,-30.0,256980.28404580828,10280.692455207027,50903.312432431565
-18.0,30.0,-30.0,284433.09834653174,535663.8797400328,49565.76363771047
-16.0,-30.0,-30.0,245852.56347524113,598259.6296942524,42162.091594448575
-16.0,-28.0,-30.0,139339.60298056292,122209.33119756827,40405.65870496225
-16.0,-26.0,-30.0,25579.538171251876,31584.872989209627,48306.794140647944
-16.0,-24.0,-30.0,90145.47507527807,74614.03064081345,60083.865905766164
-16.0,-22.0,-30.0,187603.4130157454,58125.4235668951,46810.142320736544
-16.0,-20.0,-30.0,191254.06445051974,50243.8236653333,79255.52100804917
-16.0,-18.0,-30.0,163255.05456315808,31293.925813935795,53284.77111076255
-16.0,-16.0,-30.0,155995.69424008144,19636.013934233077,85728.5843889995
-16.0,-14.0,-30.0,147911.56297087143,18305.240153474144,59140.21036520447
-16.0,-12.0,-30.0,131089.19028035438,4955.397023424111,59801.26284277918
-16.0,-10.0,-30.0,114958.90986791777,12268.773793172411,59649.950344785066
-16.0,-8.0,-30.0,99621.76138870783,14383.35306738477,74408.46981572438
-16.0,-6.0,-30.0,68079.63324588748,12512.54153375193,63555.85410983396
-16.0,-4.0,-30.0,48712.90028867672,7750.4986101056065,70157.38102450596
-16.0,-2.0,-30.0,49279.407574340454,13687.17824032748,78784.80463227404
-16.0,0.0,-30.0,14766.461092766554,27122.049641425398,90499.8925763148
-16.0,2.0,-30.0,6367.909659498214,52790.842044696416,86154.38027533298
-16.0,4.0,-30.0,8036.037584293956,89988.40000970341,80995.27000170092
-16.0,6.0,-30.0,33369.35780619782,91944.7510969508,66027.00561568087
-16.0,8.0,-30.0,64404.38704312581,107332.13690023051,84092.6681777614
-16.0,10.0,-30.0,72649.6168277913,145427.81761376138,71157.00053180523
-16.0,12.0,-30.0,104711.33499372272,136215.24697973236,72092.95754733337
-16.0,14.0,-30.0,123543.72332304795,123890.68372809382,75732.65117429786
-16.0,16.0,-30.0,141892.13979866062,109872.43938909742,73762.46727193311
-16.0,18.0,-30.0,148031.78254900163,99568.28527714961,84087.86081240243
-16.0,20.0,-30.0,151381.99882427964,100624.74640268146,68606.1640820155
-16.0,22.0,-30.0,140541.80926737466,79954.17253094412,68202.2868471017
-16.0,24.0,-30.0,165776.11121402425,70770.80341716892,62400.10953365794
-16.0,26.0,-30.0,185959.31521915368,48980.4177527565,40612.047370814566
-16.0,28.0,-30.0,202154.87672880074,25536.958528243926,55497.85773344471
-16.0,30.0,-30.0,213915.11778133493,528413.2432670988,43377.098561367384
-14.0,-30.0,-30.0,202503.5142885432,603646.7935575704,40435.47546166394
-14.0,-28.0,-30.0,206419.6377073079,124869.88466465578,46193.009585032996
-14.0,-26.0,-30.0,219870.7441030318,152983.10786559657,63899.44462780831
-14.0,-24.0,-30.0,102966.40006305686,156917.35421496438,64964.904760737176
-14.0,-22.0,-30.0,10667.458740280923,46352.95130792556,61537.79196293732
-14.0,-20.0,-30.0,117764.80347345716,53014.73964156209,61128.00298071119
-14.0,-18.0,-30.0,242156.91799446693,51188.60126716822,72898.3416152091
-14.0,-16.0,-30.0,212394.79209052058,27610.986860061745,67207.68753047934
-14.0,-14.0,-30.0,216621.7775547847,4953.87840015366,72980.3398098071
-14.0,-12.0,-30.0,204463.07756238457,10429.05437610322,93531.97322127307
-14.0,-10.0,-30.0,178478.98819356522,20748.310390228755,99647.32339273297
-14.0,-8.0,-30.0,152971.37871306844,9246.751889443654,90107.66417450887
-14.0,-6.0,-30.0,126190.24143328647,12367.512225801549,88986.80264462734
-14.0,-4.0,-30.0,104072.82610995173,27672.144847207677,80246.24901916341
-14.0,-2.0,-30.0,93824.77602708964,35954.15895784117,97879.3883868851
-14.0,0.0,-30.0,81408.94254322963,41245.36598398029,81201.88878481502
-14.0,2.0,-30.0,57553.66361913658,56885.83167338631,91578.84331769543
