x,y,z,dx,dy,dz
-30.0,-30.0,-30.0,0.0659111317713483,0.15067465525860643,0.18457357420643966
-30.0,-28.0,-30.0,0.07376186586204349,0.2998573108235644,0.18662531026706972
-30.0,-26.0,-30.0,0.07650588475025888,0.30455312392068834,0.1859291455305482
-30.0,-24.0,-30.0,0.08394085164632338,0.31614109798259327,0.18670170832844635
-30.0,-22.0,-30.0,0.09048131242460866,0.327280961289257,0.18529911052784404
-30.0,-20.0,-30.0,0.09753396939415529,0.3458751182203803,0.18770430692952583
-30.0,-18.0,-30.0,0.10576661282576147,0.3678488626224155,0.18838226208424208
-30.0,-16.0,-30.0,0.11097809000777084,0.39258771319924507,0.184679206970796
-30.0,-14.0,-30.0,0.11576411174575083,0.4284213583169392,0.18910771002110666
-30.0,-12.0,-30.0,0.12307405406356034,0.4594755391259003,0.18608395874986244
-30.0,-10.0,-30.0,0.13420374668103247,0.4957931678115441,0.18882073470378347
-30.0,-8.0,-30.0,0.1357307280704865,0.5323879867686699,0.18551291348701524
-30.0,-6.0,-30.0,0.1399131418685502,0.5617015925633837,0.18184777316361528
-30.0,-4.0,-30.0,0.14874559351946826,0.5816075368762776,0.1845168816816168
-30.0,-2.0,-30.0,0.15061732721522525,0.5802832495701777,0.18112686173642037
-30.0,0.0,-30.0,0.1639367657919611,0.4868535004724936,0.1866650604928095
-30.0,2.0,-30.0,0.182518401844477,0.3725235400751138,0.18525461287401415
-30.0,4.0,-30.0,0.19562033512344723,0.33468433512239837,0.1819545313146573
-30.0,6.0,-30.0,0.2152770359669962,0.3142889210889075,0.18206481220025947
-30.0,8.0,-30.0,0.23663521422723335,0.29567637301701777,0.18606715918312694
-30.0,10.0,-30.0,0.25031356929980747,0.2913886800577364,0.18118001084995355
-30.0,12.0,-30.0,0.27796753723680373,0.30965729949937,0.1838047865878357
-30.0,14.0,-30.0,0.2966451189556341,0.3470529599927681,0.18229274162884257
-30.0,16.0,-30.0,0.3125495459782717,0.40289926005607785,0.17899197129565053
-30.0,18.0,-30.0,0.3232925875671563,0.47979394019378874,0.1776635351312542
-30.0,20.0,-30.0,0.3372793961061252,0.5841952570034468,0.18600325371607812
-30.0,22.0,-30.0,0.34801312645605675,0.6911082424185773,0.1853835722212461
-30.0,24.0,-30.0,0.3569091741366453,0.7972814557446912,0.1880893826168411
-30.0,26.0,-30.0,0.36345657170036966,0.922471310359112,0.18173747007133548
-30.0,28.0,-30.0,0.3548847047239685,1.0096143983839936,0.18825707912548176
-30.0,30.0,-30.0,0.34188580451463696,6.062422988891342,0.18707966402079437
-28.0,-30.0,-30.0,0.1261410504091759,6.368242514250774,0.18497543238652017
-28.0,-28.0,-30.0,0.136501474394162,0.28480685293707403,0.18464489346261312
-28.0,-26.0,-30.0,0.1458140178925876,0.29531782421254266,0.18544932868142172
-28.0,-24.0,-30.0,0.15531437046693464,0.3081132963931931,0.18539240428809364
-28.0,-22.0,-30.0,0.16622250112375772,0.31899348213562295,0.18291315566779215
-28.0,-20.0,-30.0,0.18130524120686672,0.3379061205411794,0.18449175752322933
-28.0,-18.0,-30.0,0.1933894039221451,0.3592227886879253,0.18756157676269938
-28.0,-16.0,-30.0,0.20719541023412805,0.38737202628807643,0.18361917665788607
-28.0,-14.0,-30.0,0.22369019827733988,0.4225882404023455,0.18310137076925467
-28.0,-12.0,-30.0,0.23899352682318306,0.45411384363895885,0.18711692255165877
-28.0,-10.0,-30.0,0.25253321706496185,0.4960882455868931,0.18117731026436595
-28.0,-8.0,-30.0,0.2677243163615021,0.539149387390765,0.18376399984663014
-28.0,-6.0,-30.0,0.27931297164034263,0.5693128788622626,0.1835761774284712
-28.0,-4.0,-30.0,0.29724998502827166,0.5926712285729515,0.18592221098658984
-28.0,-2.0,-30.0,0.3088284203306087,0.5777785227565186,0.1911518213774985
-28.0,0.0,-30.0,0.33125382467523146,0.4565059844154422,0.18332811922047768
-28.0,2.0,-30.0,0.3715852347797488,0.3485777470766499,0.18227066364746217
-28.0,4.0,-30.0,0.4092223342831806,0.3166612993157618,0.1830292502562816
-28.0,6.0,-30.0,0.444348577538467,0.2819445750145356,0.1858295217044284
-28.0,8.0,-30.0,0.48813301063508774,0.265799963295158,0.1841515450428723
-28.0,10.0,-30.0,0.5278878864625718,0.25342107893043725,0.18513198113325713
-28.0,12.0,-30.0,0.5726977195895707,0.25469894308468344,0.18098505956112465
-28.0,14.0,-30.0,0.608614516336343,0.30419553584461784,0.18327952947227993
-28.0,16.0,-30.0,0.6501489829109823,0.36807767976402395,0.18833211596841826
-28.0,18.0,-30.0,0.6770120729552882,0.4469752511464472,0.18466409235815548
-28.0,20.0,-30.0,0.7127261267877607,0.5500110067862802,0.18241985751806733
-28.0,22.0,-30.0,0.736553554082572,0.6599694208660998,0.17801384630388528
-28.0,24.0,-30.0,0.7582799126310936,0.7698678856904536,0.18034523616097078
-28.0,26.0,-30.0,0.7598463385850629,0.9144612882718993,0.17389166154192673
-28.0,28.0,-30.0,0.747970662335663,1.0243877719471937,0.18277544240877694
-28.0,30.0,-30.0,0.7024849047051064,5.757139343732137,0.1768776348100164
-26.0,-30.0,-30.0,0.11328321320253085,6.07534567366803,0.18915152548845546
-26.0,-28.0,-30.0,0.11832032875862798,0.27544634042163313,0.1878169574971065
-26.0,-26.0,-30.0,0.127075949727358,0.2858757170525509,0.185877383836388
