x,y,z,dx,dy,dz
-28.0,-26.0,-30.0,2363074.9397891047,2961223.1532086357,842790.6824753429
-28.0,-24.0,-30.0,2319537.9093590304,2775241.5548803974,382868.62683774286
-28.0,-22.0,-30.0,2640401.6710975626,2260240.238878011,435007.5706590625
-28.0,-20.0,-30.0,2723044.809434377,2604080.27543057,27571.24445366791
-28.0,-18.0,-30.0,2087324.3595405107,3268133.7913057264,306385.42956080596
-28.0,-16.0,-30.0,2832102.0218636515,3092250.040418416,919954.6474745971
-28.0,-14.0,-30.0,3687028.889852739,2583071.815192825,235929.94868509154
-28.0,-12.0,-30.0,2722020.3930375944,1866478.7157225176,704470.6267052039
-28.0,-10.0,-30.0,3124025.624777737,1329429.9929576388,234090.07828421003
-28.0,-8.0,-30.0,3704060.762439874,1702547.2541420646,361510.5835890228
-28.0,-6.0,-30.0,4627044.199219489,2030815.3004560543,728102.3719975901
-28.0,-4.0,-30.0,4050073.3614144637,2634889.704318322,226635.00551652134
-28.0,-2.0,-30.0,3532026.834567436,3283161.2156480127,332665.14620944415
-28.0,0.0,-30.0,5313051.65725631,2468248.503988573,185531.2081381196
-28.0,2.0,-30.0,5849272.863357784,1758100.3924419815,521786.3328263938
-28.0,4.0,-30.0,6210477.59161167,1989061.4278738513,405836.5038037821
-28.0,6.0,-30.0,5926432.127051422,332705.4359502103,1006471.8642634788
-28.0,8.0,-30.0,5682622.323848039,1338353.5831641923,910009.0903746681
-28.0,10.0,-30.0,5470180.196591313,701632.2353749801,147448.63989047703
-28.0,12.0,-30.0,4630039.063885758,1501394.4535796088,377727.9055075192
-28.0,14.0,-30.0,4652057.514274224,3014240.4904219205,211902.07403842144
-28.0,16.0,-30.0,5306198.46249659,4094071.0228807474,183933.91043351096
-28.0,18.0,-30.0,4770138.695594385,4025205.050004974,1125469.9579290496
-28.0,20.0,-30.0,4152458.585262684,3798500.6352493525,85024.05400081543
-28.0,22.0,-30.0,4227727.084824462,4342100.647146221,189954.73441466445
-28.0,24.0,-30.0,4191795.706040583,4012467.865779109,345529.6896237013
-28.0,26.0,-30.0,3939532.9870097227,4472736.990347311,389709.6071833695
-28.0,28.0,-30.0,4772303.675581254,3723219.71682997,29762.809974375014
-28.0,30.0,-30.0,2671421.098142154,4384986.36918487,707011.6552475372
-26.0,-30.0,-30.0,425475.37375854346,1426979.407542212,162593.67854297563
-26.0,-28.0,-30.0,116764.85341833746,3476089.0541582564,1187530.9874069202
-26.0,-26.0,-30.0,443335.5404719295,2523023.0437585316,799365.5901221958
-26.0,-24.0,-30.0,569563.2387333545,2462827.934357472,1179777.8843336012
-26.0,-22.0,-30.0,856404.3514106498,3583064.465019287,424315.6411678686
-26.0,-20.0,-30.0,1860201.2861793302,3094090.4222917776,518318.4678480819
-26.0,-18.0,-30.0,1348014.4642663342,2673684.2288540024,191356.28381131095
-26.0,-16.0,-30.0,1299023.572739716,3431422.676155963,877853.6207349971
-26.0,-14.0,-30.0,254131.41655421164,2064171.1473612345,1085688.5082682772
-26.0,-12.0,-30.0,1052130.8511072004,2015112.7071789464,337333.43788397126
-26.0,-10.0,-30.0,848188.8123560998,2109507.018286863,214042.92331975428
-26.0,-8.0,-30.0,2086061.6484872028,2385737.173994152,330879.0694781309
-26.0,-6.0,-30.0,2058058.094216043,3008042.5996441445,758823.8775621632
-26.0,-4.0,-30.0,3624039.653771904,1969970.9828522485,746527.05820497
-26.0,-2.0,-30.0,3645077.66444876,3108580.096612164,319235.39715221873
-26.0,0.0,-30.0,3660048.2936413954,3832258.343403771,436972.8063206082
-26.0,2.0,-30.0,3556073.84223246,2501023.239275466,1224532.5577921476
-26.0,4.0,-30.0,5216046.0323413825,2333061.060709861,943045.4582600921
-26.0,6.0,-30.0,3468289.859478347,101065.28666584232,1638179.4214378495
-26.0,8.0,-30.0,4888414.371160972,2273900.774471587,906034.9207100233
-26.0,10.0,-30.0,4863424.151079371,1299394.9378057197,740345.3017800706
-26.0,12.0,-30.0,5037232.530749262,1672065.8272816713,216545.52547887602
-26.0,14.0,-30.0,4281063.871262888,2139048.183120079,104231.46644290409
-26.0,16.0,-30.0,4505033.856764914,3781043.9232907332,993683.9138672315
-26.0,18.0,-30.0,5324112.1892054705,5645066.71216765,715064.1908335057
-26.0,20.0,-30.0,4528247.015570106,4580061.794770967,430233.3601816856
-26.0,22.0,-30.0,2919315.795865233,3980181.5194543796,516982.76736275974
-26.0,24.0,-30.0,4292272.215184786,4645324.273182117,122253.36384285914
-26.0,26.0,-30.0,2861178.9261272666,3531576.7027750253,626323.6302240336
-26.0,28.0,-30.0,3185437.7050627535,4011268.557749464,1491265.6658871793
-26.0,30.0,-30.0,1851478.0647398198,6939159.377529918,738016.9610476551
-24.0,-30.0,-30.0,2036538.2278794746,2899455.99904678,478399.8607155048
-24.0,-28.0,-30.0,1749166.9469324478,3266858.5540602263,103181.6768798338
-24.0,-26.0,-30.0,1283806.7532035748,3537666.6392103876,381985.45986356423
-24.0,-24.0,-30.0,716146.2566985526,3194042.1275480795,244253.03648081888
-24.0,-22.0,-30.0,565299.2131217849,3551103.8347418313,1009715.3059191614
-24.0,-20.0,-30.0,567696.8372518307,3095083.764044504,43256.294488666
-24.0,-18.0,-30.0,161369.81663760342,2706211.148223957,378430.2169154822
-24.0,-16.0,-30.0,90809.33611573935,2000933.0150944185,474942.387713873
-24.0,-14.0,-30.0,631103.3244155338,2335877.256128016,652462.4463645144
-24.0,-12.0,-30.0,395874.3355475392,2460106.8609870137,173818.708504049
-24.0,-10.0,-30.0,26648.88058441734,2363336.45913592,278486.2538244252
-24.0,-8.0,-30.0,1225040.8354462974,2911818.040614161,559364.4334406306
-24.0,-6.0,-30.0,1543011.8417253867,3568416.8988588015,574459.7398564705
-24.0,-4.0,-30.0,1866135.1018190298,4221675.004164916,387355.0800918985
-24.0,-2.0,-30.0,2929024.004942817,3318667.5032648873,1214436.3164986975
-24.0,0.0,-30.0,2851072.965652854,2378364.789656003,427415.82821475837
-24.0,2.0,-30.0,3175040.3106554016,3314091.2087406707,408672.86626187817
-24.0,4.0,-30.0,3440081.16921492,1901386.5250123413,1059406.271712775
-24.0,6.0,-30.0,1527738.1163655566,73735.40419504454,949333.9164623824
-24.0,8.0,-30.0,3323138.2791568893,97356.09965021575,1518023.0432346729
-24.0,10.0,-30.0,4352091.063885703,551749.286023144,119153.9600367284
-24.0,12.0,-30.0,4707384.7443177,2081410.518462935,1690302.9827640026
-24.0,14.0,-30.0,4734191.936130517,3546059.426234913,255396.45539768483
