x,y,z,dx,dy,dz
-28.0,-12.0,-30.0,628615.7323978577,184779.51431721763,74771.87445809008
-28.0,-10.0,-30.0,663619.9224813142,155472.63464709444,74722.36748539495
-28.0,-8.0,-30.0,712459.3104050751,143170.2224497266,80802.17191084984
-28.0,-6.0,-30.0,753290.2304910518,137323.87656739354,86643.17773450505
-28.0,-4.0,-30.0,796565.299765158,127300.42562820035,85836.91287960946
-28.0,-2.0,-30.0,825409.30929372,124224.62422382012,77073.29746463822
-28.0,0.0,-30.0,839735.2704632349,61984.92553360468,71272.73215672787
-28.0,2.0,-30.0,839549.2439033105,45656.300292204665,61240.10292294488
-28.0,4.0,-30.0,809423.7735340635,103907.28846914742,63962.23270825386
-28.0,6.0,-30.0,766018.4008145211,125238.16649218215,59642.96696875255
-28.0,8.0,-30.0,712672.5018250245,148640.57362265082,60791.436808115424
-28.0,10.0,-30.0,660996.9131046423,158772.3116942301,55115.535988315714
-28.0,12.0,-30.0,606012.7408975691,148126.19838627998,50881.23662218145
-28.0,14.0,-30.0,552465.0002425243,158537.7156075423,42528.54473069355
-28.0,16.0,-30.0,503187.71304111613,174091.7223467144,42761.14631070801
-28.0,18.0,-30.0,447357.6781021375,170991.5488827109,38478.673332877384
-28.0,20.0,-30.0,391191.256436159,163778.7944536962,33237.4730001239
-28.0,22.0,-30.0,335706.92538069515,148483.26669497957,27624.43700598619
-28.0,24.0,-30.0,284541.89362811315,133552.93070158813,28769.58352228666
-28.0,26.0,-30.0,240405.95125373325,117650.72707938838,31336.27565188219
-28.0,28.0,-30.0,202070.1403061822,92091.4025628981,23705.71803169747
-28.0,30.0,-30.0,178887.11413908837,218462.72941272348,19318.941434133983
-26.0,-30.0,-30.0,303555.12667921284,80575.44231296943,57740.03744260701
-26.0,-28.0,-30.0,331646.9246609519,204694.95795715452,61539.053628016445
-26.0,-26.0,-30.0,348940.28459324705,206795.1941289869,60512.26236763672
-26.0,-24.0,-30.0,370326.1210375201,211543.88633505336,64987.69192981766
-26.0,-22.0,-30.0,388785.85735405836,232354.46585333245,68565.00853169298
-26.0,-20.0,-30.0,428310.1701325572,253666.78386001158,72880.65465111719
-26.0,-18.0,-30.0,485889.2338772041,271967.149439781,81131.98904267178
-26.0,-16.0,-30.0,557939.8651253855,274266.22697157756,86839.19548444777
-26.0,-14.0,-30.0,630527.1769439626,252689.3752407025,83352.45292589418
-26.0,-12.0,-30.0,693732.9384322567,221062.4845905382,88022.42807569081
-26.0,-10.0,-30.0,759521.9669266627,208311.62172207067,101383.86865803238
-26.0,-8.0,-30.0,838372.4405581986,213757.2662493877,98593.88511528344
-26.0,-6.0,-30.0,919987.2333901797,194342.91646049544,87363.29900701497
-26.0,-4.0,-30.0,1004270.4510338142,160588.33570899215,82955.17955813672
-26.0,-2.0,-30.0,1039319.0803152407,137570.11949226214,82546.98908510875
-26.0,0.0,-30.0,1045637.743973699,64840.71912362081,84806.32664503173
-26.0,2.0,-30.0,1031207.7022291721,55206.640281006104,80763.8561928692
-26.0,4.0,-30.0,1004791.5727108296,140811.86935512818,67908.034938445
-26.0,6.0,-30.0,949865.4453822349,180342.93068615813,66573.37756079431
-26.0,8.0,-30.0,885297.2842096863,207797.3008358018,57404.43955929044
-26.0,10.0,-30.0,818470.5528646178,219194.02606308472,57578.06473409679
-26.0,12.0,-30.0,741654.4088211617,212312.13498380926,48939.615633100024
-26.0,14.0,-30.0,670069.2727714336,214290.05906411077,53042.19707237882
-26.0,16.0,-30.0,608205.2277519662,228867.7508758285,41048.48030294141
-26.0,18.0,-30.0,533151.5474586522,239147.80013797,42700.62976380519
-26.0,20.0,-30.0,464979.0034429631,226621.37198873045,39609.18923818746
-26.0,22.0,-30.0,397712.76403667993,209989.01208816073,33815.67662549452
-26.0,24.0,-30.0,337676.1421566621,183966.4465673274,37307.8662121629
-26.0,26.0,-30.0,287920.49023808923,161616.80285212997,31856.307330255404
-26.0,28.0,-30.0,233983.86065727056,132590.37951656946,26825.694251225166
-26.0,30.0,-30.0,199691.281615803,162352.5735342726,32796.23646297748
-24.0,-30.0,-30.0,312905.4914052046,6185.9642210515485,59890.923641568064
-24.0,-28.0,-30.0,336325.008453566,219558.74077074786,62493.77029715171
-24.0,-26.0,-30.0,365328.0442346751,220103.926967226,65329.008078594095
-24.0,-24.0,-30.0,382111.7786471766,233344.69775070407,66391.82374581283
-24.0,-22.0,-30.0,416546.05342600227,259567.7967250977,80082.94387775971
-24.0,-20.0,-30.0,448125.3200931331,305491.790813742,84412.37381516218
